"","SE","VAR","RMSD","MEAN"
"intercept_1",0.0419840685131159,0.00176266200891401,0.0419630712282252,0.25969083
"slope_1",0.0435585054682594,0.00189734339862838,0.043536720767988,0.271781162
"intercept_2",0.0547483962853453,0.00299738689581722,0.0547210152402292,0.296030449
"slope_2",0.0468473902858134,0.00219467797659133,0.046823960731817,0.287078792
"intercept_3",0.0703857813979274,0.00495415822299682,0.0703505797046039,0.334279724
"slope_3",0.0650754623212,0.00423481579631792,0.0650429164515368,0.33307192
"intercept_4",0.177418699084155,0.0314773947847139,0.17732996754618,0.456866387
"slope_4",0.212638000596621,0.0452149192977287,0.212531655003275,0.542497045
"intercept_5",0.0101668154243137,0.000103364135872063,0.0101617307451138,0.159249947
"slope_5",0.014201519096363,0.000201683144644363,0.0141944165607368,0.177474591
"intercept_6",0.0157018995245502,0.00024654964867907,0.0156940466110685,0.181624647
"slope_6",0.0219539228719996,0.000481974729469709,0.0219429431649503,0.211801181
"intercept_7",0.024276721852652,0.00058935922391103,0.0242645804556172,0.210943859
"slope_7",0.0378162344761973,0.00143006758995873,0.0377973216295649,0.267455865
"intercept_8",0.0532844165043162,0.00283922904220544,0.0532577676321796,0.284496681
"slope_8",0.112710261183602,0.0127036029760758,0.112653891957179,0.454059171
"intercept_9",0.0042362850371233,1.79461109157548e-05,0.00423416636480417,0.131310881
"slope_9",0.00898258515031094,8.06868359825866e-05,0.00897809273435088,0.152558086
"intercept_10",0.00789769108892822,6.23735245361361e-05,0.00789374125567845,0.14952562
"slope_10",0.0180053264808163,0.000324191781680785,0.0179963215657841,0.192131164
"intercept_11",0.0128705248830778,0.000165650410765925,0.0128640880110157,0.173704279
"slope_11",0.0323331285202014,0.00104543119990386,0.0323169579122782,0.249446071
"intercept_12",0.0252499806149038,0.000637561521053017,0.0252373524667696,0.232325006
"slope_12",0.0938672297262968,0.00881105681648939,0.0938202843721596,0.429499152
"intercept_13",0.0104967479373669,0.000110181717260617,0.0104914982506483,0.159195238
"slope_13",0.0145851082444528,0.000212725382502406,0.01457781386628,0.176939436
"intercept_14",0.0161326497137432,0.000260262386786337,0.0161245813712962,0.180975893
"slope_14",0.0226302496206624,0.000512128197893493,0.0226189316656556,0.210352701
"intercept_15",0.0256561490789112,0.000658237985559318,0.0256433177957486,0.211503171
"slope_15",0.0396373477676535,0.00157111933805391,0.0396175241366224,0.268409012
"intercept_16",0.0533826868012126,0.00284971125011636,0.0533559887816376,0.286356819
"slope_16",0.110132823640772,0.0121292388430893,0.110077743455461,0.457035076
"intercept_17",0.037646107995609,0.00141722944721706,0.0376272802334933,0.258833131
"slope_17",0.0461612413559395,0.0021308602035213,0.0461381549622195,0.272953835
"intercept_18",0.0600905444861649,0.00361087353664376,0.0600604916988457,0.297435378
"slope_18",0.052283814634877,0.00273359727277417,0.0522576661888129,0.288914801
"intercept_19",0.0724602781049454,0.00525049190304604,0.0724240389038266,0.335651747
"slope_19",0.0676147564221399,0.0045717552860253,0.0675809405878557,0.334074811
"intercept_20",0.148345026858026,0.0220062469935085,0.148270835792191,0.449161429
"slope_20",0.177458887765659,0.0314916568470248,0.177370136128317,0.534039203
