"","MEAN","RMSD","VAR"
"1",0.241917487745363,0.0395922711005526,0.00140904215675496
"2",0.27553932985932,0.0485976263335441,0.00225349425561989
"3",0.313145173777443,0.0618043329430057,0.00377259228304638
"4",0.424791711233285,0.14673690199322,0.0207153174448933
"5",0.149281611835661,0.00928196171171405,8.62407739357997e-05
"6",0.171104250392914,0.0146271171065228,0.000211655889927408
"7",0.200158723173121,0.0239782521086385,0.000514183028633551
"8",0.27095454014963,0.0489872099752571,0.00231494153963358
"9",0.12313971951388,0.00390143471215854,1.39981400913548e-05
"10",0.141319749426752,0.00771147112564005,5.69848749144166e-05
"11",0.165253757850305,0.0135001127035452,0.000157324255178426
"12",0.223310844189106,0.0253033342136585,0.000613351315572403
"13",0.149061268551762,0.00954700522132131,8.97320554041858e-05
"14",0.170640457403321,0.0154186299528692,0.000228547577940387
"15",0.200197073723358,0.0241148412512877,0.000570703992526583
"16",0.272694693509549,0.0493519119468652,0.00236899121859779
"17",0.24093604780903,0.0330833538676045,0.00109426744900779
"18",0.276347856446452,0.0521065465203262,0.00258884747130902
"19",0.314389461022542,0.065278679760565,0.00409930638618303
"20",0.418149474869129,0.126583864278823,0.0157676862202131
"21",0.243366507566113,0.0298324756436839,0.000682440951322353
"22",0.261726044634321,0.033942184935251,0.00115164967718611
"23",0.307126846917506,0.0533765095682683,0.00283121837077122
"24",0.499553089106331,0.177880554542259,0.029913324277222
"25",0.162982164875267,0.00988210812402955,9.76219751382454e-05
"26",0.195875692758267,0.0196623733258886,0.00033020945634384
"27",0.25020694501147,0.0335208340646213,0.00112041773969578
"28",0.424763807414425,0.0998065987746949,0.00992731569806245
"29",0.14079842325433,0.00762530394281123,5.57236572351307e-05
"30",0.178613748725762,0.0163665472429989,0.000256667334087334
"31",0.233558543093315,0.0308836443932683,0.000893630142855816
"32",0.404484248456617,0.0843092690680421,0.00710825737001028
"33",0.162691163084923,0.0103477764256354,9.822101366965e-05
"34",0.195076483316917,0.0190584034847922,0.00036243953015681
"35",0.250015576224556,0.0382357061304376,0.00124346457027742
"36",0.428378464387286,0.0977981370157888,0.00956877436686308
"37",0.24343698366257,0.0246356895922768,0.000606208143329651
"38",0.262645295067273,0.0389457570424344,0.00137639352630958
"39",0.308025190225157,0.0578126800936409,0.00311832669498551
"40",0.491318078581203,0.148373949274709,0.0219440247764732
