"","VAR","RMSD","MEAN"
"intercept_1",0.000655554993145674,0.0255910030704646,0.24305076098
"slope_1",0.00134108421456759,0.0366025016952807,0.24160572836
"intercept_2",0.00109406233675848,0.0330600706959577,0.26129152145
"slope_2",0.0021414408279373,0.0462525608708249,0.27512904903
"intercept_3",0.00263736120831053,0.0513295611427004,0.30640505894
"slope_3",0.00354180085586956,0.0594832670169829,0.31254352015
"intercept_4",0.021043813974188,0.144992310693408,0.49108991584
"slope_4",0.0147932939605491,0.12156685677679,0.41807367218
"intercept_5",9.5892303718901e-05,0.00978756412061664,0.16288235303
"slope_5",8.49255321288892e-05,0.00921089608001091,0.14926043584
"intercept_6",0.000323672087353134,0.0179818913150364,0.19574624159
"slope_6",0.000207731007112041,0.0144056681936288,0.17106196369
"intercept_7",0.0010791208766809,0.0328335461959901,0.24986222677
"slope_7",0.000497265789737487,0.022288304644987,0.19999722069
"intercept_8",0.00885882172536004,0.0940742414459701,0.42303916965
"slope_8",0.00210291154716803,0.0458345790383294,0.27024815609
"intercept_9",5.53794400779629e-05,0.00743801456289815,0.14073370337
"slope_9",1.3897414436362e-05,0.00372605918121621,0.123134456
"intercept_10",0.000252591548833266,0.0158851804297097,0.17850680837
"slope_10",5.61433919248296e-05,0.00748914204251093,0.14129225772
"intercept_11",0.00086901498884155,0.0294643169588692,0.23334970196
"slope_11",0.000153662346418642,0.0123898621490404,0.16518166297
"intercept_12",0.00663634677697672,0.0814230337816011,0.40356788505
"slope_12",0.000584927777737438,0.0241731845225179,0.22307070277
"intercept_13",9.66212376935191e-05,0.00982469421691208,0.16258808389
"slope_13",8.82809415975796e-05,0.00939109475279544,0.14903545732
"intercept_14",0.000355929975652047,0.0188566711186358,0.19495899731
"slope_14",0.000225057726260866,0.0149944212470707,0.17061482831
"intercept_15",0.00119204129469436,0.0345086837390194,0.24965702935
"slope_15",0.000549442786864033,0.0234284729352378,0.20003462826
"intercept_16",0.00879014055769341,0.0937088598646666,0.42705093477
"slope_16",0.00105934255502165,0.0325312651531819,0.24076081047
"intercept_17",0.000590391666618315,0.0242858245680829,0.24321784414
"slope_17",0.00105934255502165,0.0325312651531819,0.24076081047
"intercept_18",0.00129836027162362,0.0360147457488179,0.26215520693
"slope_18",0.00244584461405554,0.0494307472069914,0.27588158553
"intercept_19",0.00288971162721469,0.0537291533116563,0.30732077106
"slope_19",0.00381878989120985,0.061765452328293,0.31379480273
"intercept_20",0.0161454663991722,0.127001263508569,0.48427894862
"slope_20",0.0115161086287688,0.107259463545834,0.41255152489
