"Ratio_MEAN_Flex_MIRT","Ratio_MEAN_Flex_Mplus","Ratio_MEAN_MIRT_Mplus","Ratio_RMSD_Flex_MIRT","Ratio_RMSD_Flex_Mplus","Ratio_RMSD_MIRT_Mplus"
1.07346861287409,1.0684633487791,0.995337298142711,1.05988037719916,1.6397587508657,1.54711681255852
0.986360684475647,1.12489535676504,1.1404503184989,0.89586105438934,1.18944658838992,1.32771324589024
0.945345717543753,1.13295084110354,1.19845133910082,0.885391244181722,1.65519958331244,1.86945555898531
0.675810719485399,1.04343322892341,1.54397259297387,0.319101467291305,1.01235390755093,3.17251411014906
2.23925585937535,1.09097325336739,0.487203482710425,7.57927923962666,1.37056655343348,0.180830724149568
1.94660225701672,1.06568173238769,0.547457359892777,4.44673519585973,1.09346577135662,0.245903055431482
2.28252049052515,0.930311073927345,0.407580601264747,7.39545012466919,1.22303015034467,0.165376025762783
2.00216997545203,1.29761111760807,0.648102375681221,4.33851315701837,1.74826972283659,0.402965177138724
1.29324597805381,0.977699204595043,0.756004055830406,2.60461381384789,1.03822877887553,0.398611407708739
1.25583714746103,1.18902634848423,0.946799790791445,1.8406885443092,1.54104621715806,0.837211825934629
1.09906515508425,0.927857646331834,0.84422442294671,1.16251226606035,0.872769517739506,0.750761556002536
0.948459004617979,1.23815473896832,1.30543832990127,0.867195721309554,1.52321592237249,1.7564845915894
1.41514869053157,0.844240691067623,0.596573841827536,2.54159078088982,0.739017963846395,0.290769847531342
1.56736490906051,1.33729790882725,0.853214143749614,2.4514059773859,1.69583654888108,0.691781191905823
1.42108311429732,0.672506711932555,0.473235312675633,2.20850583577181,0.566124869183955,0.256338407630293
1.66508253298336,1.68015640724219,1.00905292918533,2.2826652000528,2.45783629567039,1.07673972320318
0.545003050369944,0.933045019463272,1.7119996279469,0.127984798087545,0.569260295069169,4.44787430675773
0.552050911346806,1.23895529290356,2.24427723501253,0.172302586410109,2.40954109897427,13.9843582686516
0.475606337164333,0.837646593793055,1.76121831930853,0.120923727082591,0.496924872248536,4.10940751031544
0.459479625222853,1.35981381499861,2.95946488234181,0.142169159302516,2.40298841491199,16.902318524644
0.713755893270611,0.744394689776702,1.04292615555956,0.431210877858852,0.436598887697733,1.01249506938609
0.953080811458874,1.51013173323787,1.5844739659865,0.95211778422417,2.60833877919951,2.73951271829767
0.75644642704388,0.575677635922928,0.76102895769185,0.472817587191444,0.309953477470063,0.655545575855584
0.859766782282033,1.92539471417204,2.23943836148399,0.527434179714516,3.88117189461586,7.35859002675294
0.976764777433376,0.979132259826031,1.00242379992333,1.06166600476035,1.06787020735855,1.00584383654594
0.903325131916003,1.18723046972699,1.31428920527076,0.741406625978664,1.55230186149922,2.09372536892312
0.723304834690754,0.928276691494439,1.28338239559994,0.481031627680005,0.855112828231936,1.7776644591045
0.495222750451446,1.23290984191478,2.48960662811,0.226627617245188,1.50848981050699,6.65624882282089
1.50217002514263,0.84717490851615,0.56396739006672,3.36292402087446,0.743097534223057,0.220967684553821
1.50273432988693,1.34181273679839,0.892914143313248,2.4206403188412,1.69099899281252,0.698575075218952
1.22606013553351,0.670544882788338,0.546910272469265,1.72764548452279,0.569380407132195,0.329570164847488
1.12992057847469,1.89829513826524,1.68002528180149,1.30564224636584,3.38375230527098,2.59163818778797
1.5909476955727,1.06420288328438,0.668911294975855,3.6362672216493,1.54935156218431,0.426082976784521
1.39921445352572,1.1337137238704,0.810250152157652,2.42088247313243,1.41827115376442,0.585848825585196
1.18966738989435,1.13457741878619,0.953692963616452,1.57079593336017,1.66766390960339,1.06166808443157
0.674438201306963,1.04724206381866,1.55276207929689,0.534342143760635,1.05718948511913,1.97848793598565
1.37880342563417,1.0921869870438,0.792126685166498,2.93980156847451,1.34794677451421,0.458516244419064
1.27196190936689,1.06462824780259,0.836996957190723,1.73525810563192,1.094154386317,0.630542731807931
1.45819706716739,0.927484934622761,0.636049101665279,2.56467673790651,1.1674752809226,0.4552134246266
1.08695207093165,1.29447880029626,1.19092537280575,1.19542640062726,1.65365488754775,1.38331802499932
