"Parameter","Item","True_Value","FlexMIRT","MIRT","Mplus","Ratio_Flex_MIRT","Ratio_Flex_Mplus","Ratio_MIRT_Mplus"
"Intercept",1,NA,0.0419630712282252,0.0395922711005526,0.0255910030704646,1.05988037719916,1.6397587508657,1.54711681255852
"Intercept",2,NA,0.0547210152402292,0.0618043329430057,0.0330600706959577,0.885391244181722,1.65519958331244,1.86945555898531
"Intercept",3,NA,0.0703505797046039,0.00928196171171405,0.0513295611427004,7.57927923962666,1.37056655343348,0.180830724149568
"Intercept",4,NA,0.17732996754618,0.0239782521086385,0.144992310693408,7.39545012466919,1.22303015034467,0.165376025762783
"Intercept",5,NA,0.0101617307451138,0.00390143471215854,0.00978756412061664,2.60461381384789,1.03822877887553,0.398611407708739
"Intercept",6,NA,0.0156940466110685,0.0135001127035452,0.0179818913150364,1.16251226606035,0.872769517739506,0.750761556002536
"Intercept",7,NA,0.0242645804556172,0.00954700522132131,0.0328335461959901,2.54159078088982,0.739017963846395,0.290769847531342
"Intercept",8,NA,0.0532577676321796,0.0241148412512877,0.0940742414459701,2.20850583577181,0.566124869183955,0.256338407630293
"Intercept",9,NA,0.00423416636480417,0.0330833538676045,0.00743801456289815,0.127984798087545,0.569260295069169,4.44787430675773
"Intercept",10,NA,0.00789374125567845,0.065278679760565,0.0158851804297097,0.120923727082591,0.496924872248536,4.10940751031544
"Intercept",11,NA,0.0128640880110157,0.0298324756436839,0.0294643169588692,0.431210877858852,0.436598887697733,1.01249506938609
"Intercept",12,NA,0.0252373524667696,0.0533765095682683,0.0814230337816011,0.472817587191444,0.309953477470063,0.655545575855584
"Intercept",13,NA,0.0104914982506483,0.00988210812402955,0.00982469421691208,1.06166600476035,1.06787020735855,1.00584383654594
"Intercept",14,NA,0.0161245813712962,0.0335208340646213,0.0188566711186358,0.481031627680005,0.855112828231936,1.7776644591045
"Intercept",15,NA,0.0256433177957486,0.00762530394281123,0.0345086837390194,3.36292402087446,0.743097534223057,0.220967684553821
"Intercept",16,NA,0.0533559887816376,0.0308836443932683,0.0937088598646666,1.72764548452279,0.569380407132195,0.329570164847488
"Intercept",17,NA,0.0376272802334933,0.0103477764256354,0.0242858245680829,3.6362672216493,1.54935156218431,0.426082976784521
"Intercept",18,NA,0.0600604916988457,0.0382357061304376,0.0360147457488179,1.57079593336017,1.66766390960339,1.06166808443157
"Intercept",19,NA,0.0724240389038266,0.0246356895922768,0.0537291533116563,2.93980156847451,1.34794677451421,0.458516244419064
"Intercept",20,NA,0.148270835792191,0.0578126800936409,0.127001263508569,2.56467673790651,1.1674752809226,0.4552134246266
"Slope",1,NA,0.043536720767988,0.0485976263335441,0.0366025016952807,0.89586105438934,1.18944658838992,1.32771324589024
"Slope",2,NA,0.046823960731817,0.14673690199322,0.0462525608708249,0.319101467291305,1.01235390755093,3.17251411014906
"Slope",3,NA,0.0650429164515368,0.0146271171065228,0.0594832670169829,4.44673519585973,1.09346577135662,0.245903055431482
"Slope",4,NA,0.212531655003275,0.0489872099752571,0.12156685677679,4.33851315701837,1.74826972283659,0.402965177138724
"Slope",5,NA,0.0141944165607368,0.00771147112564005,0.00921089608001091,1.8406885443092,1.54104621715806,0.837211825934629
"Slope",6,NA,0.0219429431649503,0.0253033342136585,0.0144056681936288,0.867195721309554,1.52321592237249,1.7564845915894
"Slope",7,NA,0.0377973216295649,0.0154186299528692,0.022288304644987,2.4514059773859,1.69583654888108,0.691781191905823
"Slope",8,NA,0.112653891957179,0.0493519119468652,0.0458345790383294,2.2826652000528,2.45783629567039,1.07673972320318
"Slope",9,NA,0.00897809273435088,0.0521065465203262,0.00372605918121621,0.172302586410109,2.40954109897427,13.9843582686516
"Slope",10,NA,0.0179963215657841,0.126583864278823,0.00748914204251093,0.142169159302516,2.40298841491199,16.902318524644
"Slope",11,NA,0.0323169579122782,0.033942184935251,0.0123898621490404,0.95211778422417,2.60833877919951,2.73951271829767
"Slope",12,NA,0.0938202843721596,0.177880554542259,0.0241731845225179,0.527434179714516,3.88117189461586,7.35859002675294
"Slope",13,NA,0.01457781386628,0.0196623733258886,0.00939109475279544,0.741406625978664,1.55230186149922,2.09372536892312
"Slope",14,NA,0.0226189316656556,0.0998065987746949,0.0149944212470707,0.226627617245188,1.50848981050699,6.65624882282089
"Slope",15,NA,0.0396175241366224,0.0163665472429989,0.0234284729352378,2.4206403188412,1.69099899281252,0.698575075218952
"Slope",16,NA,0.110077743455461,0.0843092690680421,0.0325312651531819,1.30564224636584,3.38375230527098,2.59163818778797
"Slope",17,NA,0.0461381549622195,0.0190584034847922,0.0325312651531819,2.42088247313243,1.41827115376442,0.585848825585196
"Slope",18,NA,0.0522576661888129,0.0977981370157888,0.0494307472069914,0.534342143760635,1.05718948511913,1.97848793598565
"Slope",19,NA,0.0675809405878557,0.0389457570424344,0.061765452328293,1.73525810563192,1.094154386317,0.630542731807931
"Slope",20,NA,0.177370136128317,0.148373949274709,0.107259463545834,1.19542640062726,1.65365488754775,1.38331802499932
